"","type","year","Production","Area_Harvested","population","SuffRatio","location"
"1","natl","2024",19087135.45,4645921.38,114163719,71.4803533528961,"Philippines"
"2","prov","2024",68864.6,21837.93,251269,120.835978094831,"Abra"
"3","prov","2024",83869.15,24396,769239,48.9312906008891,"Agusan del Norte"
"4","prov","2024",312379.6,89848,757298,168.694804855209,"Agusan del Sur"
"5","prov","2024",78217.47,27834,625195,60.0047370973083,"Aklan"
"6","prov","2024",204046.2,53471,1448267,66.8268806355218,"Albay"
"7","prov","2024",189999.91,55246,632052,130.325714885264,"Antique"
"8","prov","2024",69794.05,20872.78,126949,209.63923831583,"Apayao"
"9","prov","2024",83625.16,20223.39,236027,150.675364151552,"Aurora"
"10","prov","2024",61083,19511,NA,NA,"Barmm Clusters"
"11","prov","2024",739.05,308.4,423164,0.912201971342345,"Basilan"
"12","prov","2024",107111.35,25366.06,885856,58.2398028035131,"Bataan"
"13","prov","2024",51.5,51.45,18427,1.46170130104013,"Batanes"
"14","prov","2024",22028.89,7796.81,3341598,3.34776802408103,"Batangas"
"15","prov","2024",18403.9,6741.36,884925,9.84927196403282,"Benguet"
"16","prov","2024",51426,12127,184333,123.083207604793,"Biliran"
"17","prov","2024",234801.78,72630,1398173,78.8054981220698,"Bohol"
"18","prov","2024",514036.54,106042,1571271,141.2799973879,"Bukidnon"
"19","prov","2024",330658,74837.12,3875131,41.9516755825158,"Bulacan"
"20","prov","2024",1063403,239232,1320442,276.740354604752,"Cagayan"
"21","prov","2024",85901.66,20366.71,647890,63.516294626878,"Camarines Norte"
"22","prov","2024",628082,174796,2128441,128.51447911917,"Camarines Sur"
"23","prov","2024",2059.62,541.5,94947,11.1257062935361,"Camiguin"
"24","prov","2024",310895.87,98234,839339,153.956680656206,"Capiz"
"25","prov","2024",20904.52,6394.35,280673,36.8513403360568,"Catanduanes"
"26","prov","2024",15462.04,4489.43,4562864,1.7504307813933,"Cavite"
"27","prov","2024",9946.68,3618,5375308,0.90185189737713,"Cebu"
"28","prov","2024",0,0,NA,NA,"Davao City"
"29","prov","2024",135459,31810.08,798431,79.4117303797604,"Davao de Oro (Compostela Valley)"
"30","prov","2024",143802.1,34231.73,1081833,64.4033412636383,"Davao del Norte"
"31","prov","2024",153760.73,29803.2,2750251,24.8782857687937,"Davao del Sur"
"32","prov","2024",2460.91,830,353430,3.55243968131295,"Davao Occidental"
"33","prov","2024",72925.16,15878,627580,55.7437577432005,"Davao Oriental"
"34","prov","2024",7047.46,2852,132872,26.5308370939655,"Dinagat Islands"
"35","prov","2024",56783.22,22561.04,535505,50.5867844420114,"Eastern Samar"
"36","prov","2024",53049.5,18817,191900,120.928164177393,"Guimaras"
"37","prov","2024",28337.25,11112.21,215794,62.3884857708703,"Ifugao"
"38","prov","2024",341888.5,64864.13,625723,212.165399046403,"Ilocos Norte"
"39","prov","2024",239286,49094.51,731801,140.890260637533,"Ilocos Sur"
"40","prov","2024",831333.77,255422,2612888,132.683956695686,"Iloilo"
"41","prov","2024",1468910,296788.77,1744325,286.808725635277,"Isabela"
"42","prov","2024",101309.84,28515,225140,181.792617608759,"Kalinga"
"43","prov","2024",172289.95,38398.71,854165,92.8066868916133,"La Union"
"44","prov","2024",114703.63,29205.87,3541572,16.4336527969666,"Laguna"
"45","prov","2024",200017.97,46413.72,1144795,77.3537176512866,"Lanao del Norte"
"46","prov","2024",227913.93,77002.65,1236598,85.0638190702924,"Lanao del Sur"
"47","prov","2024",439671.43,105317,2262487,87.1643384652475,"Leyte"
"48","prov","2024",626693.2,163857.55,1459585,173.258649203449,"Maguindanao"
"49","prov","2024",16526,5085,246700,33.3065970772102,"Marinduque"
"50","prov","2024",136873.72,48185,966033,66.7767399839817,"Masbate"
